,comment,keypoint,domain,label
0,happy store <SEP> positive,commendable patience <SEP> positive,Automotive,0
1,satisfactory massage <SEP> positive,best pedicure <SEP> positive,Beauty & Spas,0
2,better prices <SEP> negative,too expensive restaurant <SEP> negative,Hotels,0
3,very expensive hotel park <SEP> negative,a little outdated rooms <SEP> negative,Hotels,0
4,pleased service <SEP> positive,friendly staff <SEP> positive,Beauty & Spas,0
5,breathtaking city view <SEP> positive,nice and updated style <SEP> positive,Hotels,0
6,terrific adult pool service <SEP> positive,exceptional customer service <SEP> positive,Hotels,0
7,amazing performance <SEP> positive,beautiful view <SEP> positive,Arts & Entertainment,0
8,very friendly and professional staff <SEP> positive,attentive staff <SEP> positive,Hotels,1
9,a bit high prices <SEP> negative,excellent value <SEP> positive,Beauty & Spas,0
10,terrible customer service <SEP> negative,horrible customer service <SEP> negative,Hotels,1
11,awesome service department <SEP> positive,great customer service <SEP> positive,Automotive,0
12,exellent service <SEP> positive,best customer <SEP> positive,Automotive,0
13,too much food <SEP> negative,very nice breakfast buffet <SEP> positive,Hotels,0
14,very customer service <SEP> negative,worst service <SEP> negative,Automotive,1
15,happy staff <SEP> positive,great family run business <SEP> positive,Beauty & Spas,0
16,horrible horrible service <SEP> negative,loyal customer <SEP> positive,Automotive,0
17,quiet lady <SEP> positive,clean rooms <SEP> positive,Beauty & Spas,0
18,hassle free experience <SEP> negative,lack of attention details <SEP> negative,Automotive,0
19,hit and miss customer service <SEP> negative,uncaring staff <SEP> negative,Arts & Entertainment,0
20,very nice everyone <SEP> positive,great service <SEP> positive,Beauty & Spas,0
21,central entrance <SEP> positive,skilled performers <SEP> positive,Arts & Entertainment,0
22,strict security <SEP> negative,great singing <SEP> positive,Arts & Entertainment,0
23,best experiences <SEP> positive,great communication <SEP> positive,Automotive,0
24,really good bartenders <SEP> positive,poor freaking customer service <SEP> negative,Hotels,0
25,am not overly in love the <SEP> negative,gracious and friendly staff <SEP> positive,Hotels,0
26,amazing robes <SEP> positive,worst costumer <SEP> negative,Beauty & Spas,0
27,great barbershop <SEP> positive,best pedicure <SEP> positive,Beauty & Spas,0
28,horrible service <SEP> negative,totally affordable and pleasant staff <SEP> positive,Beauty & Spas,0
29,most annoying performer <SEP> negative,uncaring staff <SEP> negative,Arts & Entertainment,0
