comment_id,comment,full_comment,topic,domain
comment_0_0,$ 30 bucks drinks <SEP> positive,"Drinks $ 30 bucks , but it was awesome ! !",drink -> quality,Arts & Entertainment
comment_0_1,110 minutes deep tissue or thai massage <SEP> positive,"Deep tissue or thai massage , 110 minutes for the win .  ",drink -> quality,Beauty & Spas
comment_0_2,30 treatments <SEP> negative,Treatments are 30 to 50 minutes and not painful .,drink -> quality,Beauty & Spas
comment_0_3,300 for 2 nights room <SEP> negative,"Our room was 300 for 2 nights and the room had a mini fridge fit for only a few items , no microwave etc .",drink -> quality,Hotels
comment_0_4,5 star experience <SEP> positive,All of the little extras added up to a 5 star experience from five star nails and spa !,drink -> quality,Beauty & Spas
comment_0_5,50 minute signature massage <SEP> positive,"While visiting , I had the luxury of getting a 50 minute signature massage at the Encore Spa .",drink -> quality,Beauty & Spas
comment_0_6,a bit chilly water <SEP> negative,"The water is a bit chilly though , and our youngest one shivers the entire time .  ",drink -> quality,Hotels
comment_0_7,a bit messy drink station <SEP> negative,"Though the dining room / drink station was a bit messy , it was rush hour however and an employee was quick to take care of it .",drink -> quality,Restaurants
comment_0_8,a bit steep movies <SEP> negative,"$ 14 after 6 pm movies is a bit steep , suggest at least a senior or student discount .",drink -> quality,Arts & Entertainment
comment_0_9,a little spendy drinks <SEP> negative,"Drinks are a little spendy , but you get a nice souvenir cup with a picture of one of the sexy men .   ",drink -> quality,Arts & Entertainment
comment_0_10,a little weak shower pressure <SEP> negative,shower pressure was a little weak however that is bearable,drink -> quality,Hotels
comment_0_11,about 300 a night rooms <SEP> negative,Decides on the Jockey Club because rooms all over vegas were about 300 a night .  ,drink -> quality,Hotels
comment_0_12,absolutely fresh jalapeños <SEP> positive,I could have used a bit more cheese on the nachos but the jalapeños were absolutely fresh .   ,drink -> quality,Restaurants
comment_0_13,abundant grease <SEP> positive,Grease is abundant .,drink -> quality,Restaurants
comment_0_14,addicting kettle corn <SEP> negative,The kettle corn is addicting,drink -> quality,Arts & Entertainment
comment_0_15,always changing drinks <SEP> negative,Prices of the drinks were always changing .,drink -> quality,Arts & Entertainment
comment_0_16,always clean and well maintained pools <SEP> positive,the pools were always clean and well maintained .  ,drink -> quality,Hotels
comment_0_17,always clean hot tub area <SEP> positive,The pool and hot tub area was always clean .,drink -> quality,Hotels
comment_0_18,always clean hotel <SEP> positive,"Hotel is always clean , smells great",drink -> quality,Hotels
comment_0_19,always delicious chorizo <SEP> positive,The chorizo is always delicious and has a good amount of spice .,drink -> quality,Restaurants
comment_0_20,always even acrylic nails <SEP> positive,My acrylic nails are always even and smooth and not too thick .,drink -> quality,Beauty & Spas
comment_0_21,always full <SEP> negative,It 's always full which I guess is a good sign for them !  ,drink -> quality,Arts & Entertainment
comment_0_22,always great adrian <SEP> positive,Adrian that works there is always great !,drink -> quality,Arts & Entertainment
comment_0_23,always hot drinks <SEP> positive,The plus is that my drinks are always hot .,drink -> quality,Arts & Entertainment
comment_0_24,always nice fountain <SEP> positive,"The RC in the fountain was something different , so that 's always nice .",drink -> quality,Restaurants
comment_0_25,amazing brownies <SEP> positive,Every now and again they have amazing brownies to die for .,drink -> quality,Restaurants
comment_0_26,amazing coffee drinks <SEP> positive,They have amazing coffee drinks and pour over coffee .  ,drink -> quality,Arts & Entertainment
comment_0_27,amazing coffee shop <SEP> positive,Amazing coffee shop !,drink -> quality,Arts & Entertainment
comment_0_28,amazing drink <SEP> positive,The drink turned out amazing anyway,drink -> quality,Arts & Entertainment
comment_0_29,amazing filet mignon <SEP> positive,I had the filet mignon = amazing .,drink -> quality,Restaurants
comment_0_30,amazing piercer jay <SEP> positive,My piercer Jay was AMAZING !,drink -> quality,Beauty & Spas
comment_0_31,among the best pho <SEP> positive,The pho at this place was among the best I have experienced .,drink -> quality,Restaurants
comment_0_32,aromatic pho <SEP> positive,"The pho is here exactly what pho should be like- aromatic , layered , not to heavy , and fresh .",drink -> quality,Restaurants
comment_0_33,average chorizo tacos <SEP> positive,"Tried the nachos and chorizo tacos as well in our group , also , just very average .",drink -> quality,Restaurants
comment_0_34,awesome drinks <SEP> positive,"We sat in the bar area and the Service , food and drinks were awesome .",drink -> quality,Restaurants
comment_0_35,bad drink <SEP> negative,Imagine how bad the drink is !,drink -> quality,Hotels
comment_0_36,bad experience gel mani <SEP> negative,I had a bad experience at a previous salon regarding my gel mani and pedi .,drink -> quality,Beauty & Spas
comment_0_37,bad first experience <SEP> negative,Bad first experience,drink -> quality,Restaurants
comment_0_38,balanced dumplings <SEP> positive,The dumplings were balanced in flavor .,drink -> quality,Restaurants
comment_0_39,barely cold waters <SEP> negative,Ok how about 4 barely cold waters at $ 5 each .,drink -> quality,Arts & Entertainment
comment_0_40,barely flushed toilet <SEP> negative,The toilet barely flushed .  ,drink -> quality,Hotels
comment_0_41,barely warm shower <SEP> negative,"Took off two stars because it was a cold couple of days and the shower was just barely warm ( I know , worse things happening in the world but this is a review ) .  ",drink -> quality,Hotels
comment_0_42,beautiful gel colors <SEP> positive,All the new gel colors are beautiful love my Pedis by Linda,drink -> quality,Beauty & Spas
comment_0_43,best coffee <SEP> positive,Best coffee and oatmeal and waffles .,drink -> quality,Hotels
comment_0_43,best coffee <SEP> positive,Best coffee .,drink -> quality,Restaurants
comment_0_44,best coffee places <SEP> positive,One of the best coffee places around Chandler ! !,drink -> quality,Arts & Entertainment
comment_0_45,best deep tissue massage <SEP> positive,"She was very welcoming upon my arrival , and gave me the best deep tissue massage I have ever had .   ",drink -> quality,Beauty & Spas
comment_0_46,best experience <SEP> positive,"All I can say is , BEST EXPERIENCE .",drink -> quality,Hotels
comment_0_47,best filet mignon <SEP> positive,One of the best filet mignon I 've had .,drink -> quality,Hotels
comment_0_48,best gel pedicures <SEP> positive,Probably one of the best gel pedicures I 've ever had !,drink -> quality,Beauty & Spas
comment_0_49,best green tea <SEP> positive,"They have best green tea ever , just know I 'll be back .",drink -> quality,Restaurants
comment_0_50,best guac <SEP> positive,The traditional guac was some of the best I 've ever had,drink -> quality,Restaurants
comment_0_51,best hazelnut coffee <SEP> positive,They have the best hazelnut coffee in town,drink -> quality,Restaurants
comment_0_52,best high tea event <SEP> positive,Best high tea event at Casa Loma during Winterlicious !  ,drink -> quality,Arts & Entertainment
comment_0_53,best iced green tea <SEP> positive,The iced green tea with passion fruit and papaya is the best !,drink -> quality,Restaurants
comment_0_54,best injector <SEP> positive,Mary is THE best injector I 've found .  ,drink -> quality,Beauty & Spas
comment_0_55,best massage <SEP> positive,Massage was the best,drink -> quality,Hotels
comment_0_55,best massage <SEP> positive,Sunny gave me the best massage ever .,drink -> quality,Beauty & Spas
comment_0_56,best massages <SEP> positive,Their massages are the best .,drink -> quality,Beauty & Spas
comment_0_57,best mojito <SEP> positive,Oh and I had the best mojito ever !,drink -> quality,Restaurants
comment_0_58,best queso <SEP> positive,"Quesadilla , fajitas , queso the best I ever had .",drink -> quality,Restaurants
comment_0_59,best shampoo cranial massage <SEP> positive,The best part is the shampoo cranial massage you get with your cut .  ,drink -> quality,Beauty & Spas
