key_point_id,key_point,full_key_point,topic,domain,predicted_WA
kp_0_0,did margaritas <SEP> positive,Margaritas did n't disappoint either !  ,drink -> alcohol,Restaurants,0.4200383126735687
kp_0_1,good selection of cocktails <SEP> positive,Good selection of cocktails .,drink -> alcohol,Restaurants,0.4355701804161072
kp_0_2,great apple cider <SEP> positive,Great apple cider and donuts .,drink -> alcohol,Arts & Entertainment,0.4241575598716736
kp_0_3,great local cocktails <SEP> positive,Great local cocktails,drink -> alcohol,Arts & Entertainment,0.477838397026062
kp_0_4,impressive wine list <SEP> positive,Wine list is also impressive .  ,drink -> alcohol,Restaurants,0.4283636808395386
kp_0_5,overpriced beer <SEP> negative,Beer was overpriced .,drink -> alcohol,Restaurants,0.5687693357467651
kp_0_6,poor beer selection <SEP> negative,Beer selection is poor .,drink -> alcohol,Restaurants,0.5319820046424866
kp_1_0,below quality beverages <SEP> negative,The beverages are below quality .,drink -> quality,Arts & Entertainment,0.450772225856781
kp_1_1,broken pool fountains <SEP> negative,The pool fountains are broken .,drink -> quality,Hotels,0.4682809114456177
kp_1_2,dirty water glasses <SEP> negative,Water glasses were dirty .,drink -> quality,Restaurants,0.4253019392490387
kp_1_3,fairly priced drinks <SEP> positive,Fairly priced drinks .,drink -> quality,Restaurants,0.4422309100627899
kp_1_4,great brisket <SEP> positive,Brisket is great and moist .,drink -> quality,Restaurants,0.45488879084587097
kp_1_5,great coffee recommendations <SEP> positive,they give great coffee recommendations !,drink -> quality,Arts & Entertainment,0.5026734471321106
kp_1_6,great local coffee shop <SEP> positive,Great local coffee shop .,drink -> quality,Arts & Entertainment,0.4550931751728058
kp_1_7,leaked room <SEP> negative,Room leaked water from rain .,drink -> quality,Hotels,0.4957803785800934
kp_2_0,good portions omelets <SEP> positive,Omelets are good portions .,food -> healthiness,Restaurants,0.5367823243141174
kp_2_1,lacked seasoning king crab legs <SEP> negative,King crab legs lacked seasoning .   ,food -> healthiness,Restaurants,0.5532650947570801
kp_2_2,lumpy bedspreads <SEP> negative,Bedspreads are lumpy and stained .  ,food -> healthiness,Hotels,0.6835253834724426
kp_2_3,wilted lettuce <SEP> negative,Lettuce was wilted and brown .  ,food -> healthiness,Restaurants,0.4988867938518524
kp_3_0,a bit breakfast <SEP> negative,Breakfast is a bit overpriced .,food -> quality,Hotels,0.5505643486976624
kp_3_1,addictive sandwiches <SEP> negative,The sandwiches are addictive ...,food -> quality,Restaurants,0.43320509791374207
kp_3_2,always delicious food <SEP> positive,The food is always delicious,food -> quality,Restaurants,0.43751397728919983
kp_3_3,authentic korean food <SEP> positive,"Very good , authentic Korean food .",food -> quality,Restaurants,0.45634445548057556
kp_3_4,authentic mexican food <SEP> positive,Authentic Mexican food .,food -> quality,Restaurants,0.5013257265090942
kp_3_5,cold food <SEP> negative,"Food was cold , dry , flavorless .",food -> quality,Restaurants,0.5471324324607849
kp_3_6,cold fries <SEP> negative,Burger and fries were cold .,food -> quality,Restaurants,0.45567020773887634
kp_3_7,consistently quality food <SEP> positive,Consistently quality food and margaritas ! ! !,food -> quality,Restaurants,0.46908339858055115
kp_3_8,cooked poorly burger <SEP> negative,Burger was cooked poorly .,food -> quality,Restaurants,0.523705780506134
kp_3_9,disappointing food <SEP> negative,The food was just disappointing .,food -> quality,Restaurants,0.44684672355651855
kp_3_10,excellent enchiladas <SEP> positive,Excellent chile relleno and enchiladas .  ,food -> quality,Restaurants,0.42821601033210754
kp_3_11,excellent food <SEP> positive,"Excellent food , atmosphere and ambience .",food -> quality,Restaurants,0.4282650053501129
kp_3_12,fresh salads <SEP> positive,Salads are fresh and healthy .,food -> quality,Restaurants,0.49485647678375244
kp_3_13,good food <SEP> positive,"Food is good , but overpriced .",food -> quality,Restaurants,0.5861688256263733
kp_3_14,good inexpensive food <SEP> positive,Good inexpensive food .,food -> quality,Arts & Entertainment,0.44340598583221436
kp_3_15,good quality mexican food <SEP> positive,"Good quality "" regular "" Mexican food .",food -> quality,Restaurants,0.4222522974014282
kp_3_16,great affordable food <SEP> positive,Great affordable food .,food -> quality,Restaurants,0.5067029595375061
kp_3_17,great family fun <SEP> positive,But overall great family fun .,food -> quality,Arts & Entertainment,0.4203305244445801
kp_3_18,great family outing <SEP> positive,Great family outing,food -> quality,Arts & Entertainment,0.45188573002815247
kp_3_19,great family restaurant <SEP> positive,Great family restaurant .,food -> quality,Restaurants,0.46143510937690735
kp_3_20,great food <SEP> positive,"Great food , drinks and service !",food -> quality,Restaurants,0.48235538601875305
kp_3_21,great for night time snackers <SEP> positive,Great for night time snackers .,food -> quality,Restaurants,0.4537307322025299
kp_3_22,great korean fusion <SEP> positive,Great Korean fusion .,food -> quality,Restaurants,0.5673350095748901
kp_3_23,great late night grub spot <SEP> positive,Great late night grub spot !,food -> quality,Restaurants,0.4616958796977997
kp_3_24,great meats <SEP> positive,Flavorful stocks and great meats .,food -> quality,Restaurants,0.4887421429157257
kp_3_25,great mexican food <SEP> positive,Great Mexican food and service .  ,food -> quality,Restaurants,0.43739035725593567
kp_3_26,great quality sushi <SEP> positive,Sushi was great quality .,food -> quality,Restaurants,0.4825296401977539
kp_3_27,great ramen <SEP> positive,Great Ramen and Udon too !,food -> quality,Restaurants,0.45488375425338745
kp_3_28,great sauces <SEP> positive,Great sauces and salsas .  ,food -> quality,Restaurants,0.43798819184303284
kp_3_29,great soups <SEP> positive,Great soups and sandwiches .  ,food -> quality,Restaurants,0.45854759216308594
kp_3_30,homemade pastas <SEP> positive,Homemade pastas and pizza .,food -> quality,Restaurants,0.42002835869789124
kp_3_31,kept clean washrooms <SEP> positive,Washrooms are kept clean .,food -> quality,Hotels,0.4482811987400055
kp_3_32,moist chicken <SEP> negative,Chicken was moist but bland .  ,food -> quality,Restaurants,0.47033339738845825
kp_3_33,perfect consistency refried beans <SEP> positive,Refried beans the perfect consistency .,food -> quality,Restaurants,0.4637437164783478
kp_3_34,perfection cooked <SEP> positive,Both were cooked to perfection .,food -> quality,Hotels,0.5633606314659119
kp_3_35,perfectly seasoned fries <SEP> positive,The fries were perfectly seasoned,food -> quality,Restaurants,0.5393614172935486
kp_3_36,prepared food <SEP> positive,Food is prepared with care .  ,food -> quality,Restaurants,0.5275498628616333
kp_3_37,reliable korean cuisine <SEP> positive,Tasty and reliable Korean cuisine .,food -> quality,Restaurants,0.5516496300697327
kp_3_38,ridiculous badgering <SEP> negative,His badgering was absolutely ridiculous .    ,food -> quality,Restaurants,0.5158945322036743
kp_3_39,seasoned perfectly meat <SEP> positive,The meat is seasoned perfectly .  ,food -> quality,Restaurants,0.4949682950973511
kp_3_40,seasoned well rice <SEP> positive,The rice was seasoned well,food -> quality,Restaurants,0.4282238781452179
kp_3_41,spicy food <SEP> negative,Food is spicy and flavorful .,food -> quality,Restaurants,0.42209866642951965
kp_3_42,very nice breakfast buffet <SEP> positive,Very Nice Breakfast Buffet Sat&Sun,food -> quality,Hotels,0.43447884917259216
kp_3_43,wide selection of food <SEP> positive,Wide selection of food,food -> quality,Restaurants,0.48513397574424744
kp_3_44,wonderful restaurant <SEP> positive,Wonderful restaurant in Old Montreal .,food -> quality,Restaurants,0.42443251609802246
kp_3_45,worst carwash <SEP> negative,Worst carwash in the Valley .,food -> quality,Automotive,0.48082101345062256
kp_4_0,convenient for apex convention attendees <SEP> positive,Convenient for APEX convention attendees !,food -> variety,Hotels,0.47449496388435364
kp_4_1,great selection of movies <SEP> positive,Great selection of movies etc .,food -> variety,Arts & Entertainment,0.5000876188278198
kp_4_2,lack of attention details <SEP> negative,Lack of attention on details .,food -> variety,Automotive,0.43933749198913574
kp_4_3,lack of fair processes <SEP> negative,Lack of fair processes .,food -> variety,Arts & Entertainment,0.5510388016700745
kp_4_4,poor effort <SEP> negative,Poor effort all around .,food -> variety,Automotive,0.4419107139110565
kp_4_5,poor management systems <SEP> negative,Poor management systems .,food -> variety,Arts & Entertainment,0.5129527449607849
kp_4_6,small selection <SEP> negative,Small selection for the price .,food -> variety,Arts & Entertainment,0.47980996966362
kp_4_7,well above expectations pdq <SEP> positive,PDQ was well above expectations .  ,food -> variety,Restaurants,0.5713996887207031
