comment_id,comment,full_comment,topic,domain,predicted_WA
arg_0_0,18 holes course <SEP> negative,"The course itself is 18 holes , some a little more challenging making it more competitive .   ",drink -> alcohol,Arts & Entertainment,0.2329043447971344
arg_0_1,always a blast mini golf <SEP> positive,Mini golf is always a blast but having it glow in the dark makes it that much more fun .,drink -> alcohol,Arts & Entertainment,0.3720438480377197
arg_0_2,broken atm <SEP> negative,ATM was broken .,drink -> alcohol,Arts & Entertainment,0.2652948796749115
arg_0_3,cheap gourds <SEP> positive,Some of the larger gourds are cheap .,drink -> alcohol,Arts & Entertainment,0.5059713125228882
arg_0_4,cold beer <SEP> negative,Cold beer .,drink -> alcohol,Arts & Entertainment,0.4886709749698639
arg_0_5,cold beers <SEP> negative,Cold beers .,drink -> alcohol,Arts & Entertainment,0.6250461339950562
arg_0_6,cooler dollar beers <SEP> positive,Dollar beers were even cooler .,drink -> alcohol,Arts & Entertainment,0.2968834340572357
arg_0_7,crazy cocktails <SEP> positive,"Super fun , crazy day of cocktails , sunshine and music .",drink -> alcohol,Arts & Entertainment,0.3353021740913391
arg_0_8,delicious apple cider <SEP> positive,Cash Only and bring your own bags / basket & The Apple Cider is delicious ! ! ! !,drink -> alcohol,Arts & Entertainment,0.4190596044063568
arg_0_9,delicious apple ciders <SEP> positive,Those apple cider donuts and apple ciders were delicious !,drink -> alcohol,Arts & Entertainment,0.367368221282959
arg_0_10,die for apple cider donuts <SEP> positive,"The apple cider donuts are to die for , I literally get the newsletter in my email",drink -> alcohol,Arts & Entertainment,0.2716565430164337
arg_0_11,enjoyed wines <SEP> positive,"Also , we enjoyed so many of the wines !  ",drink -> alcohol,Arts & Entertainment,0.47507402300834656
arg_0_12,expensive beers <SEP> negative,"We played Bingo , got tanked on expensive beers .",drink -> alcohol,Arts & Entertainment,0.8405731916427612
arg_0_13,favorite beer <SEP> positive,"PBR is like $ 2 , which is a great deal on my favorite beer .",drink -> alcohol,Arts & Entertainment,0.5426216125488281
arg_0_14,free 18 hole cards <SEP> positive,We had 2 free 18 hole cards so it only cost me $ 9 .,drink -> alcohol,Arts & Entertainment,0.2483726143836975
arg_0_15,free golf game <SEP> positive,"So had a free golf game compliments of work , cause who needs a raise ?",drink -> alcohol,Arts & Entertainment,0.6757366061210632
arg_0_16,great juggling <SEP> positive,"The dancing , gymnastics , comedy , juggling are great .",drink -> alcohol,Arts & Entertainment,0.7659741044044495
arg_0_17,highest rated craft beer producers <SEP> positive,Try the Firestone Walker IPA : one of the highest rated craft beer producers in the country .,drink -> alcohol,Arts & Entertainment,0.7521480321884155
arg_0_18,ice cold beer <SEP> negative,The beer is ice cold .,drink -> alcohol,Arts & Entertainment,0.6925333738327026
arg_0_19,killer summer <SEP> positive,The summer is a killer .,drink -> alcohol,Arts & Entertainment,0.3094365894794464
arg_0_20,little crazy nickel beer nights <SEP> negative,Nickel beer nights can get a little crazy,drink -> alcohol,Arts & Entertainment,0.6528720259666443
arg_0_21,loosest slots <SEP> negative,Loosest slots .,drink -> alcohol,Arts & Entertainment,0.341589093208313
arg_0_22,loved beer selections <SEP> positive,There were so many beer selections and I loved all the local midwest brews !  ,drink -> alcohol,Arts & Entertainment,0.5154420137405396
arg_0_23,never close to empty cocktails <SEP> negative,"Buckets of beer , water and cocktails were never close to empty .",drink -> alcohol,Arts & Entertainment,0.45604386925697327
arg_0_24,nice selection of beer <SEP> positive,They also had a nice selection of beer .,drink -> alcohol,Arts & Entertainment,0.8231726884841919
arg_0_25,numerous beer options <SEP> positive,there are numerous beer options and wine to choose from .,drink -> alcohol,Arts & Entertainment,0.35117149353027344
arg_0_26,out of this world delicious apple cider <SEP> positive,Their apple cider is out of this world delicious !,drink -> alcohol,Arts & Entertainment,0.5128582715988159
arg_0_27,outstanding silver work <SEP> positive,"Their collections of pottery , rugs and silver work are outstanding .",drink -> alcohol,Arts & Entertainment,0.2694256603717804
arg_0_28,overpriced beer <SEP> positive,The food and beer is overpriced but check out $ 2 beers before the first inning stand .,drink -> alcohol,Arts & Entertainment,0.4067744314670563
arg_0_29,overpriced cocktail <SEP> negative,"Beauty is loud , smoky , and a tab bit overpriced on the cocktail side of life .  ",drink -> alcohol,Arts & Entertainment,0.42794907093048096
arg_0_30,piss warm beers <SEP> negative,The beers are piss warm .  ,drink -> alcohol,Arts & Entertainment,0.669063150882721
arg_0_31,pretty expensive soda <SEP> negative,But again popcorn and soda is pretty expensive here .,drink -> alcohol,Arts & Entertainment,0.7775400876998901
arg_0_32,pretty good at mini golf <SEP> positive,Who knew that I was pretty good at mini golf ?,drink -> alcohol,Arts & Entertainment,0.27124807238578796
arg_0_33,pretty hot bouncers <SEP> negative,and one of the bouncers was pretty hot .  ,drink -> alcohol,Arts & Entertainment,0.24496422708034515
arg_0_34,pricey beer <SEP> positive,The beer is just as pricey as any of those other places unless you want a Miller Lite ( no thanks ) .,drink -> alcohol,Arts & Entertainment,0.45508238673210144
arg_0_35,quite fun laser tag <SEP> positive,We did play laser tag which was quite fun .  ,drink -> alcohol,Arts & Entertainment,0.5275803208351135
arg_0_36,rowdy beers <SEP> negative,"These are lifers , Bingo assassins with tricks and are oh so serious about everything that we about got kicked out for getting silly and rowdy with our beers .",drink -> alcohol,Arts & Entertainment,0.41191238164901733
arg_0_37,solid gilbert regal <SEP> positive,But the Gilbert Regal is solid .,drink -> alcohol,Arts & Entertainment,0.35800209641456604
arg_0_38,stellar firebird <SEP> positive,Stravinsky 's Firebird was stellar !  ,drink -> alcohol,Arts & Entertainment,0.5666552782058716
arg_0_39,strong cocktails <SEP> positive,The cocktails were strong too :) A++ !,drink -> alcohol,Arts & Entertainment,0.6689504384994507
arg_0_40,surprising range beer list <SEP> positive,"The beer list has surprising range and offers great selections such as Lagunitas IPA , Great White Hef , Odell 90 Shilling , and Dogfish Head IPA .       ",drink -> alcohol,Arts & Entertainment,0.5040661692619324
arg_0_41,wide selection of beers <SEP> positive,They have a wide selection of beers ( always a plus ) and also have live music quite often .,drink -> alcohol,Arts & Entertainment,0.261880487203598
arg_1_0,$ 30 bucks drinks <SEP> positive,"Drinks $ 30 bucks , but it was awesome ! !",drink -> quality,Arts & Entertainment,0.6235147714614868
arg_1_1,a bit steep movies <SEP> negative,"$ 14 after 6 pm movies is a bit steep , suggest at least a senior or student discount .",drink -> quality,Arts & Entertainment,0.4675862789154053
arg_1_2,a little spendy drinks <SEP> negative,"Drinks are a little spendy , but you get a nice souvenir cup with a picture of one of the sexy men .   ",drink -> quality,Arts & Entertainment,0.24185842275619507
arg_1_3,addicting kettle corn <SEP> negative,The kettle corn is addicting,drink -> quality,Arts & Entertainment,0.29682600498199463
arg_1_4,always changing drinks <SEP> negative,Prices of the drinks were always changing .,drink -> quality,Arts & Entertainment,0.6182141900062561
arg_1_5,always full <SEP> negative,It 's always full which I guess is a good sign for them !  ,drink -> quality,Arts & Entertainment,0.5002240538597107
arg_1_6,always great adrian <SEP> positive,Adrian that works there is always great !,drink -> quality,Arts & Entertainment,0.8091722726821899
arg_1_7,always hot drinks <SEP> positive,The plus is that my drinks are always hot .,drink -> quality,Arts & Entertainment,0.5607993602752686
arg_1_8,amazing coffee drinks <SEP> positive,They have amazing coffee drinks and pour over coffee .  ,drink -> quality,Arts & Entertainment,0.3719717264175415
arg_1_9,amazing coffee shop <SEP> positive,Amazing coffee shop !,drink -> quality,Arts & Entertainment,0.589392364025116
arg_1_10,amazing drink <SEP> positive,The drink turned out amazing anyway,drink -> quality,Arts & Entertainment,0.21314425766468048
arg_1_11,barely cold waters <SEP> negative,Ok how about 4 barely cold waters at $ 5 each .,drink -> quality,Arts & Entertainment,0.5661326050758362
arg_1_12,best coffee places <SEP> positive,One of the best coffee places around Chandler ! !,drink -> quality,Arts & Entertainment,0.720243513584137
arg_1_13,best high tea event <SEP> positive,Best high tea event at Casa Loma during Winterlicious !  ,drink -> quality,Arts & Entertainment,0.5465372800827026
arg_1_14,bitter coffee <SEP> negative,The coffee is bitter .,drink -> quality,Arts & Entertainment,0.5035544037818909
arg_1_15,blackened hands <SEP> negative,One thing to note is your hands will be blackened from the steering wheel .,drink -> quality,Arts & Entertainment,0.29439857602119446
arg_1_16,blend 20 crowd <SEP> negative,The crowd on this evening was a blend 20 + to the older patrons .,drink -> quality,Arts & Entertainment,0.5537152886390686
arg_1_17,casual coffee house vibe <SEP> positive,It 's a casual coffee house vibe that people have come to know and love and locals obviously love it .,drink -> quality,Arts & Entertainment,0.3216232657432556
arg_1_18,cheap drinks <SEP> positive,The drinks are cheap and there 's always something to see .  ,drink -> quality,Arts & Entertainment,0.3171088695526123
arg_1_19,cheap pour <SEP> positive,"yah , it was the correct pour , but looked cheap .",drink -> quality,Arts & Entertainment,0.5376113653182983
arg_1_20,cheap tight machines <SEP> negative,Still cheap tight machines .  ,drink -> quality,Arts & Entertainment,0.6361235976219177
arg_1_21,clean coffee shop <SEP> positive,Cleanliness ( clean coffee shop from the lobby to the restrooms . )  ,drink -> quality,Arts & Entertainment,0.6726386547088623
arg_1_22,cloudy pool <SEP> negative,"If you do n't mind cloudy pool water and an urban crowd that gets their thrills from drunken attempts at twerking , you may enjoy it .",drink -> quality,Arts & Entertainment,0.17779535055160522
arg_1_23,cute coffee house <SEP> positive,Very trendy and cute coffee house !,drink -> quality,Arts & Entertainment,0.3112454116344452
arg_1_24,definite 5 star experience <SEP> positive,A definite 5 star experience .,drink -> quality,Arts & Entertainment,0.45559754967689514
arg_1_25,different drinks <SEP> negative,"Only giving 4 stars because of the fact that you do not get free drinks when you are gambling which is different from what I am used to ( Vegas / Wendover , etc . )   Is this an Indian Casino thing or state law or ? ?  ",drink -> quality,Arts & Entertainment,0.3920050263404846
arg_1_26,dirty iced chai <SEP> negative,I ordered a dirty iced chai with light ice .  ,drink -> quality,Arts & Entertainment,0.5664961338043213
arg_1_27,dirty water <SEP> negative,Water is soooo dirty .  ,drink -> quality,Arts & Entertainment,0.7711865305900574
arg_1_28,disappointed latte <SEP> negative,I was especially disappointed with their latte anyway ago .,drink -> quality,Arts & Entertainment,0.4106917679309845
arg_1_29,down fountain system <SEP> negative,I mean their entire fountain system was down .,drink -> quality,Arts & Entertainment,0.5375750660896301
arg_1_30,easy online purchasing <SEP> positive,Easy online purchasing and seat reservations .,drink -> quality,Arts & Entertainment,0.37990665435791016
arg_1_31,excellent deal drink service <SEP> positive,Gave our group an excellent deal on the Cabana 's and drink service .,drink -> quality,Arts & Entertainment,0.19153745472431183
arg_1_32,expensive drinks <SEP> negative,The drinks were expensive .  ,drink -> quality,Arts & Entertainment,0.6313554048538208
arg_1_33,far better water show <SEP> positive,Save your money and go watch the Bellagio fountains for free and it 's a far better water show !,drink -> quality,Arts & Entertainment,0.339110404253006
arg_1_34,far from cheap drinks <SEP> negative,It 's dirty and the drinks are far from cheap .,drink -> quality,Arts & Entertainment,0.3158046007156372
arg_1_35,favorite coffee shop <SEP> positive,SoZo is my favorite coffee shop in the East Valley .,drink -> quality,Arts & Entertainment,0.316654771566391
arg_1_36,favorite kettle corn <SEP> positive,the kettle corn is her favorite .,drink -> quality,Arts & Entertainment,0.32015231251716614
arg_1_37,five stars experience <SEP> positive,The rest of the experience is five stars though .,drink -> quality,Arts & Entertainment,0.8978793025016785
arg_1_38,flooded bathroom <SEP> negative,The only downfall was the bathroom flooded and caused a smelly situation haha,drink -> quality,Arts & Entertainment,0.49591779708862305
arg_1_39,free bottle service <SEP> positive,We got the hook up with free bottle service .  ,drink -> quality,Arts & Entertainment,0.23071642220020294
arg_1_40,free champagne <SEP> positive,At 10 we headed up to Moon cuz it was free champagne for the ladies .,drink -> quality,Arts & Entertainment,0.3153156340122223
arg_1_41,free drink tickets <SEP> positive,My girls and I waited over 35 minutes to get up the the club- even with front of the line and 4 free drink tickets .,drink -> quality,Arts & Entertainment,0.3640742003917694
arg_1_42,free drinks <SEP> positive,If you are gambling the drinks are free ( like most places in Vegas ) .  ,drink -> quality,Arts & Entertainment,0.3510364890098572
arg_1_43,free kettle <SEP> positive,Free Kettle One all night long ( you ca n't beat that ) !  ,drink -> quality,Arts & Entertainment,0.6011460423469543
arg_1_44,free movie passes <SEP> positive,But we typically have free movie passes so paying $ 4 for a soda does n't hurt as bad .,drink -> quality,Arts & Entertainment,0.3544096350669861
arg_1_45,free refill <SEP> positive,Popcorn comes with free refill .  ,drink -> quality,Arts & Entertainment,0.30789899826049805
arg_1_46,free refills <SEP> positive,50 for a big bucket of popcorn and two free refills !,drink -> quality,Arts & Entertainment,0.5858961343765259
arg_1_47,free refills large <SEP> positive,Not sure if this location has free refills on large popcorn but the Cinemark I used to visit in Anahaim did so,drink -> quality,Arts & Entertainment,0.39582812786102295
arg_1_48,free towels <SEP> positive,"They have free towels there so you do n't have to bring your own , but you do have to be in swim attire .",drink -> quality,Arts & Entertainment,0.32022663950920105
arg_1_49,free water bottles <SEP> positive,Free water bottles were the last nice touch :),drink -> quality,Arts & Entertainment,0.527787983417511
arg_1_50,fresh everything <SEP> positive,Everything is so fresh and pretty .,drink -> quality,Arts & Entertainment,0.398786336183548
arg_1_51,frosted glass cutouts bar <SEP> positive,The bar has frosted glass cutouts of pinups which I thought was cool .,drink -> quality,Arts & Entertainment,0.5283259153366089
arg_1_52,generic coffee <SEP> negative,"Coffee is generic , inconsistent , and not very good .",drink -> quality,Arts & Entertainment,0.5466556549072266
arg_1_53,generous pours <SEP> positive,Not cheap yet they are generous with their pours .  ,drink -> quality,Arts & Entertainment,0.3885505795478821
arg_1_54,good all day admission <SEP> positive,PS buy your tickets online for 20 % off and admission is good all day .,drink -> quality,Arts & Entertainment,0.6874932050704956
arg_1_55,good bottle service <SEP> positive,"Clubs and bottle service and all that other crap is good and all , but Rehab is Vegas .   ",drink -> quality,Arts & Entertainment,0.4364221394062042
arg_1_56,good coffee <SEP> positive,Coffee is good too .,drink -> quality,Arts & Entertainment,0.2971270680427551
arg_1_57,good double espresso <SEP> positive,My double espresso was good .  ,drink -> quality,Arts & Entertainment,0.338483065366745
arg_1_58,good drink <SEP> positive,Have a good drink before you go in the rowdier the audience the better .,drink -> quality,Arts & Entertainment,0.2493201494216919
arg_1_59,good drinks <SEP> positive,Good drinks !  ,drink -> quality,Arts & Entertainment,0.5707495212554932
arg_1_60,good latte <SEP> positive,Latte was good .,drink -> quality,Arts & Entertainment,0.397466242313385
arg_1_61,good watering hole <SEP> positive,Another good watering hole that has been around for awhile .,drink -> quality,Arts & Entertainment,0.2600330412387848
arg_1_62,great ac <SEP> positive,Sound system and ac work great which is always a blessing at music venues .,drink -> quality,Arts & Entertainment,0.8275296688079834
arg_1_63,great cappuccino <SEP> positive,Had a cappuccino that was great .,drink -> quality,Arts & Entertainment,0.6668162941932678
arg_1_64,great champagne with orange juice <SEP> positive,"how . since we just came from chippendale 's sober , the champagne with orange juice was great .  ",drink -> quality,Arts & Entertainment,0.2835969030857086
arg_1_65,great coffee <SEP> positive,The coffee is great .,drink -> quality,Arts & Entertainment,0.2858988344669342
arg_1_66,great drink <SEP> positive,but if you are looking for a quick drink this was a great choice for us .,drink -> quality,Arts & Entertainment,0.2032395452260971
arg_1_67,great drinks <SEP> positive,The drinks were great and Kevin and his staff could not have been kinder .  ,drink -> quality,Arts & Entertainment,0.3161265254020691
arg_1_68,great for drinks <SEP> positive,The Courtyard Cafe is great for drinks and a meal before / after or as a break during your museum visit .  ,drink -> quality,Arts & Entertainment,0.39766740798950195
arg_1_69,great pour over <SEP> positive,Great pour over cup of coffee .,drink -> quality,Arts & Entertainment,0.7438969016075134
arg_1_70,great selection of teas <SEP> positive,SoZo also has a great selection of Teas for those non coffee drinkers .,drink -> quality,Arts & Entertainment,0.39102843403816223
arg_1_71,great tea <SEP> positive,Their coffee and tea 's taste great every time .,drink -> quality,Arts & Entertainment,0.3453908860683441
arg_1_72,hate smoking policy <SEP> negative,but I hate the smoking policy .,drink -> quality,Arts & Entertainment,0.3349260091781616
arg_1_73,iced down everything <SEP> negative,Everything was always iced down and they checked in on us every ten minutes even though they were super busy .,drink -> quality,Arts & Entertainment,0.8032139539718628
