,comment,keypoint,domain,label
0,better prices <SEP> negative,too expensive restaurant <SEP> negative,Hotels,0
1,very expensive hotel park <SEP> negative,a little outdated rooms <SEP> negative,Hotels,0
2,breathtaking city view <SEP> positive,nice and updated style <SEP> positive,Hotels,0
3,terrific adult pool service <SEP> positive,exceptional customer service <SEP> positive,Hotels,0
4,very friendly and professional staff <SEP> positive,attentive staff <SEP> positive,Hotels,1
5,terrible customer service <SEP> negative,horrible customer service <SEP> negative,Hotels,1
6,too much food <SEP> negative,very nice breakfast buffet <SEP> positive,Hotels,0
7,really good bartenders <SEP> positive,poor freaking customer service <SEP> negative,Hotels,0
8,am not overly in love the <SEP> negative,gracious and friendly staff <SEP> positive,Hotels,0
9,great social media presence <SEP> positive,great setting <SEP> positive,Hotels,0
10,very friendly staff <SEP> positive,very attentive staff <SEP> positive,Hotels,1
11,clean salad <SEP> positive,perfection cooked <SEP> positive,Hotels,0
12,lack of housekeeping <SEP> negative,exceptional customer service <SEP> positive,Hotels,0
13,generous amenities <SEP> positive,worst experience <SEP> negative,Hotels,0
14,nice accommodating <SEP> positive,poor at best service <SEP> negative,Hotels,0
15,nice beds <SEP> positive,great and comfortable beds <SEP> positive,Hotels,1
16,never stay <SEP> positive,very poor wifi <SEP> negative,Hotels,0
17,pure bliss place <SEP> negative,slippery stairs <SEP> negative,Hotels,0
18,good music <SEP> positive,outdated carpet <SEP> negative,Hotels,0
19,nice and friendly staff <SEP> positive,very attentive staff <SEP> positive,Hotels,1
20,worst front desk staff <SEP> negative,very attentive staff <SEP> positive,Hotels,0
21,very nice everyone <SEP> positive,above and beyond staff <SEP> positive,Hotels,0
22,fake crowd sounds <SEP> negative,great view <SEP> positive,Hotels,0
23,disgruntled and staff <SEP> negative,super accomadative staff <SEP> positive,Hotels,0
24,bad shape hotel <SEP> negative,spacious rooms <SEP> positive,Hotels,0
25,kudos staff <SEP> positive,poor at best service <SEP> negative,Hotels,0
26,empty hotel <SEP> negative,understaffed front desk <SEP> negative,Hotels,0
27,difficult to sit <SEP> negative,very fast wifi <SEP> positive,Hotels,0
28,pure bliss place <SEP> negative,spacious rooms <SEP> positive,Hotels,0
29,great bartender <SEP> positive,great customer service <SEP> positive,Hotels,0
30,really observant people <SEP> negative,terrible customer service <SEP> negative,Hotels,0
31,fair rooms <SEP> positive,clean comfortable rooms <SEP> positive,Hotels,1
32,messed up order <SEP> negative,great cleaning staff <SEP> positive,Hotels,0
