,comment,keypoint,domain,label
0,happy store <SEP> positive,commendable patience <SEP> positive,Automotive,0
1,satisfactory massage <SEP> positive,best pedicure <SEP> positive,Beauty & Spas,0
2,could not be any better service <SEP> negative,attentively managed textures <SEP> positive,Restaurants,0
3,50/50 services <SEP> negative,always on point service <SEP> positive,Restaurants,0
4,pleased service <SEP> positive,friendly staff <SEP> positive,Beauty & Spas,0
5,cold sausage <SEP> negative,perfectly seasoned fries <SEP> positive,Restaurants,0
6,good pastries <SEP> positive,great neighborhood restaurant <SEP> positive,Restaurants,0
7,a bit pricey meal <SEP> positive,very affordable price <SEP> positive,Restaurants,0
8,wonderful flavor <SEP> positive,fitting decor <SEP> positive,Restaurants,0
9,very good tortilla chips <SEP> positive,seasoned well rice <SEP> positive,Restaurants,0
10,amazing performance <SEP> positive,beautiful view <SEP> positive,Arts & Entertainment,0
11,a bit high prices <SEP> negative,excellent value <SEP> positive,Beauty & Spas,0
12,shining souffle <SEP> positive,great affordable food <SEP> positive,Restaurants,0
13,always friendly and efficient staff <SEP> positive,amazing service <SEP> positive,Restaurants,0
14,always nice and welcoming staff <SEP> positive,professional staff <SEP> positive,Restaurants,1
15,awesome service department <SEP> positive,great customer service <SEP> positive,Automotive,0
16,huge serving <SEP> positive,smaller portions <SEP> negative,Restaurants,0
17,exellent service <SEP> positive,best customer <SEP> positive,Automotive,0
18,very customer service <SEP> negative,worst service <SEP> negative,Automotive,1
19,happy staff <SEP> positive,great family run business <SEP> positive,Beauty & Spas,0
20,horrible horrible service <SEP> negative,loyal customer <SEP> positive,Automotive,0
21,quiet lady <SEP> positive,clean rooms <SEP> positive,Beauty & Spas,0
22,hassle free experience <SEP> negative,lack of attention details <SEP> negative,Automotive,0
23,yum root beer float <SEP> positive,poor beer selection <SEP> negative,Restaurants,0
24,best panera <SEP> positive,addictive sandwiches <SEP> negative,Restaurants,0
25,hit and miss customer service <SEP> negative,uncaring staff <SEP> negative,Arts & Entertainment,0
26,very nice everyone <SEP> positive,great service <SEP> positive,Beauty & Spas,0
27,central entrance <SEP> positive,skilled performers <SEP> positive,Arts & Entertainment,0
28,strict security <SEP> negative,great singing <SEP> positive,Arts & Entertainment,0
29,best experiences <SEP> positive,great communication <SEP> positive,Automotive,0
