key_point_id,key_point,full_key_point,topic,domain,predicted_WA
kp_0_0,broken pool fountains <SEP> negative,The pool fountains are broken .,drink -> quality,Hotels,0.4682809114456177
kp_0_1,leaked room <SEP> negative,Room leaked water from rain .,drink -> quality,Hotels,0.4957803785800934
kp_1_0,lumpy bedspreads <SEP> negative,Bedspreads are lumpy and stained .  ,food -> healthiness,Hotels,0.6835253834724426
kp_2_0,a bit breakfast <SEP> negative,Breakfast is a bit overpriced .,food -> quality,Hotels,0.5505643486976624
kp_2_1,kept clean washrooms <SEP> positive,Washrooms are kept clean .,food -> quality,Hotels,0.4482811987400055
kp_2_2,perfection cooked <SEP> positive,Both were cooked to perfection .,food -> quality,Hotels,0.5633606314659119
kp_2_3,very nice breakfast buffet <SEP> positive,Very Nice Breakfast Buffet Sat&Sun,food -> quality,Hotels,0.43447884917259216
kp_3_0,convenient for apex convention attendees <SEP> positive,Convenient for APEX convention attendees !,food -> variety,Hotels,0.47449496388435364
kp_4_0,great location <SEP> positive,Great location and amenities .  ,location,Hotels,0.42586058378219604
kp_5_0,family friendly place <SEP> positive,"Relaxed , quiet , family friendly place .",recommendation,Hotels,0.5604457855224609
kp_5_1,family oriented place <SEP> positive,Definitely a family oriented place .,recommendation,Hotels,0.43907630443573
kp_5_2,over rated park <SEP> negative,Park is over rated .,recommendation,Hotels,0.5012179613113403
kp_6_0,a little outdated rooms <SEP> negative,Rooms are a little outdated .,restaurant -> atmosphere,Hotels,0.5268270969390869
kp_6_1,accessible parking <SEP> positive,Parking was accessible and easy .  ,restaurant -> atmosphere,Hotels,0.6373403668403625
kp_6_2,clean bathrooms <SEP> positive,"Clean bathrooms , towels , and shower .",restaurant -> atmosphere,Hotels,0.48445433378219604
kp_6_3,clean comfortable rooms <SEP> positive,Clean comfortable rooms .,restaurant -> atmosphere,Hotels,0.42004215717315674
kp_6_4,clean everything <SEP> positive,Everything was clean and functional .,restaurant -> atmosphere,Hotels,0.43491050601005554
