key_point_id,key_point,full_key_point,topic,domain,predicted_WA
kp_0_0,did margaritas <SEP> positive,Margaritas did n't disappoint either !  ,drink -> alcohol,Restaurants,0.4200383126735687
kp_0_1,good selection of cocktails <SEP> positive,Good selection of cocktails .,drink -> alcohol,Restaurants,0.4355701804161072
kp_0_2,impressive wine list <SEP> positive,Wine list is also impressive .  ,drink -> alcohol,Restaurants,0.4283636808395386
kp_0_3,overpriced beer <SEP> negative,Beer was overpriced .,drink -> alcohol,Restaurants,0.5687693357467651
kp_0_4,poor beer selection <SEP> negative,Beer selection is poor .,drink -> alcohol,Restaurants,0.5319820046424866
kp_1_0,dirty water glasses <SEP> negative,Water glasses were dirty .,drink -> quality,Restaurants,0.4253019392490387
kp_1_1,fairly priced drinks <SEP> positive,Fairly priced drinks .,drink -> quality,Restaurants,0.4422309100627899
kp_1_2,great brisket <SEP> positive,Brisket is great and moist .,drink -> quality,Restaurants,0.45488879084587097
kp_2_0,good portions omelets <SEP> positive,Omelets are good portions .,food -> healthiness,Restaurants,0.5367823243141174
kp_2_1,lacked seasoning king crab legs <SEP> negative,King crab legs lacked seasoning .   ,food -> healthiness,Restaurants,0.5532650947570801
kp_2_2,wilted lettuce <SEP> negative,Lettuce was wilted and brown .  ,food -> healthiness,Restaurants,0.4988867938518524
kp_3_0,addictive sandwiches <SEP> negative,The sandwiches are addictive ...,food -> quality,Restaurants,0.43320509791374207
kp_3_1,always delicious food <SEP> positive,The food is always delicious,food -> quality,Restaurants,0.43751397728919983
kp_3_2,authentic korean food <SEP> positive,"Very good , authentic Korean food .",food -> quality,Restaurants,0.45634445548057556
kp_3_3,authentic mexican food <SEP> positive,Authentic Mexican food .,food -> quality,Restaurants,0.5013257265090942
kp_3_4,cold food <SEP> negative,"Food was cold , dry , flavorless .",food -> quality,Restaurants,0.5471324324607849
kp_3_5,cold fries <SEP> negative,Burger and fries were cold .,food -> quality,Restaurants,0.45567020773887634
kp_3_6,consistently quality food <SEP> positive,Consistently quality food and margaritas ! ! !,food -> quality,Restaurants,0.46908339858055115
kp_3_7,cooked poorly burger <SEP> negative,Burger was cooked poorly .,food -> quality,Restaurants,0.523705780506134
kp_3_8,disappointing food <SEP> negative,The food was just disappointing .,food -> quality,Restaurants,0.44684672355651855
kp_3_9,excellent enchiladas <SEP> positive,Excellent chile relleno and enchiladas .  ,food -> quality,Restaurants,0.42821601033210754
kp_3_10,excellent food <SEP> positive,"Excellent food , atmosphere and ambience .",food -> quality,Restaurants,0.4282650053501129
kp_3_11,fresh salads <SEP> positive,Salads are fresh and healthy .,food -> quality,Restaurants,0.49485647678375244
kp_3_12,good food <SEP> positive,"Food is good , but overpriced .",food -> quality,Restaurants,0.5861688256263733
kp_3_13,good quality mexican food <SEP> positive,"Good quality "" regular "" Mexican food .",food -> quality,Restaurants,0.4222522974014282
kp_3_14,great affordable food <SEP> positive,Great affordable food .,food -> quality,Restaurants,0.5067029595375061
kp_3_15,great family restaurant <SEP> positive,Great family restaurant .,food -> quality,Restaurants,0.46143510937690735
kp_3_16,great food <SEP> positive,"Great food , drinks and service !",food -> quality,Restaurants,0.48235538601875305
kp_3_17,great for night time snackers <SEP> positive,Great for night time snackers .,food -> quality,Restaurants,0.4537307322025299
kp_3_18,great korean fusion <SEP> positive,Great Korean fusion .,food -> quality,Restaurants,0.5673350095748901
kp_3_19,great late night grub spot <SEP> positive,Great late night grub spot !,food -> quality,Restaurants,0.4616958796977997
kp_3_20,great meats <SEP> positive,Flavorful stocks and great meats .,food -> quality,Restaurants,0.4887421429157257
kp_3_21,great mexican food <SEP> positive,Great Mexican food and service .  ,food -> quality,Restaurants,0.43739035725593567
kp_3_22,great quality sushi <SEP> positive,Sushi was great quality .,food -> quality,Restaurants,0.4825296401977539
kp_3_23,great ramen <SEP> positive,Great Ramen and Udon too !,food -> quality,Restaurants,0.45488375425338745
kp_3_24,great sauces <SEP> positive,Great sauces and salsas .  ,food -> quality,Restaurants,0.43798819184303284
kp_3_25,great soups <SEP> positive,Great soups and sandwiches .  ,food -> quality,Restaurants,0.45854759216308594
kp_3_26,homemade pastas <SEP> positive,Homemade pastas and pizza .,food -> quality,Restaurants,0.42002835869789124
kp_3_27,moist chicken <SEP> negative,Chicken was moist but bland .  ,food -> quality,Restaurants,0.47033339738845825
kp_3_28,perfect consistency refried beans <SEP> positive,Refried beans the perfect consistency .,food -> quality,Restaurants,0.4637437164783478
kp_3_29,perfectly seasoned fries <SEP> positive,The fries were perfectly seasoned,food -> quality,Restaurants,0.5393614172935486
kp_3_30,prepared food <SEP> positive,Food is prepared with care .  ,food -> quality,Restaurants,0.5275498628616333
kp_3_31,reliable korean cuisine <SEP> positive,Tasty and reliable Korean cuisine .,food -> quality,Restaurants,0.5516496300697327
kp_3_32,ridiculous badgering <SEP> negative,His badgering was absolutely ridiculous .    ,food -> quality,Restaurants,0.5158945322036743
kp_3_33,seasoned perfectly meat <SEP> positive,The meat is seasoned perfectly .  ,food -> quality,Restaurants,0.4949682950973511
kp_3_34,seasoned well rice <SEP> positive,The rice was seasoned well,food -> quality,Restaurants,0.4282238781452179
kp_3_35,spicy food <SEP> negative,Food is spicy and flavorful .,food -> quality,Restaurants,0.42209866642951965
kp_3_36,wide selection of food <SEP> positive,Wide selection of food,food -> quality,Restaurants,0.48513397574424744
kp_3_37,wonderful restaurant <SEP> positive,Wonderful restaurant in Old Montreal .,food -> quality,Restaurants,0.42443251609802246
kp_4_0,well above expectations pdq <SEP> positive,PDQ was well above expectations .  ,food -> variety,Restaurants,0.5713996887207031
kp_5_0,generous portions <SEP> positive,Portions are generous .,food-quantity,Restaurants,0.46274229884147644
kp_5_1,good portions <SEP> positive,Servings are good portions .,food-quantity,Restaurants,0.5650215148925781
kp_5_2,small dessert portions <SEP> negative,Dessert portions small,food-quantity,Restaurants,0.5648941993713379
kp_5_3,smaller portions <SEP> negative,Portions are getting smaller .  ,food-quantity,Restaurants,0.4733462333679199
kp_6_0,great location <SEP> positive,Great location in southwest vegas .,location,Restaurants,0.4592888057231903
kp_7_0,worst place <SEP> negative,Worst place to eat,recommendation,Restaurants,0.43149179220199585
kp_8_0,ample parking <SEP> positive,Ample parking and seating .,restaurant -> atmosphere,Restaurants,0.48428580164909363
kp_8_1,best wings <SEP> positive,Best wings hands down,restaurant -> atmosphere,Restaurants,0.4394696056842804
kp_8_2,classic music <SEP> positive,Current and classic music .,restaurant -> atmosphere,Restaurants,0.4569137692451477
kp_8_3,crisp wings <SEP> positive,Wings were crisp as requested .,restaurant -> atmosphere,Restaurants,0.426022469997406
kp_8_4,dirty place <SEP> negative,Place felt dirty and disorganized .,restaurant -> atmosphere,Restaurants,0.5058704018592834
kp_8_5,fitting decor <SEP> positive,Decor is fitting and colorful .,restaurant -> atmosphere,Restaurants,0.42034777998924255
kp_8_6,great ambience <SEP> positive,Great ambience and service .  ,restaurant -> atmosphere,Restaurants,0.42304539680480957
kp_8_7,great atmosphere <SEP> positive,Great atmosphere and patio service .,restaurant -> atmosphere,Restaurants,0.4623757600784302
kp_8_8,great date night spot <SEP> positive,Great date night spot or,restaurant -> atmosphere,Restaurants,0.42508503794670105
kp_8_9,great flavor <SEP> positive,Great flavor and texture .,restaurant -> atmosphere,Restaurants,0.4240235984325409
kp_8_10,great neighborhood <SEP> positive,Great neighborhood burger joint .,restaurant -> atmosphere,Restaurants,0.42043861746788025
kp_8_11,great neighborhood restaurant <SEP> positive,Great neighborhood restaurant .,restaurant -> atmosphere,Restaurants,0.43458959460258484
kp_8_12,minor parking <SEP> negative,Parking is a minor annoyance .,restaurant -> atmosphere,Restaurants,0.4353095293045044
kp_8_13,perfect gem <SEP> positive,Perfect hidden Gem .,restaurant -> atmosphere,Restaurants,0.4555741846561432
kp_8_14,sunny outdoor seating <SEP> positive,"Great , sunny , outdoor seating .",restaurant -> atmosphere,Restaurants,0.47357580065727234
kp_9_0,comfortable seating <SEP> positive,Seating was comfortable and spacious .,restaurant -> comfort,Restaurants,0.5571481585502625
kp_10_0,a+ customer service <SEP> positive,Customer Service was A+,staff,Restaurants,0.474484384059906
