comment_id,comment,full_comment,topic,domain,predicted_WA
arg_0_0,300 for 2 nights room <SEP> negative,"Our room was 300 for 2 nights and the room had a mini fridge fit for only a few items , no microwave etc .",drink -> quality,Hotels,0.47027960419654846
arg_0_1,a bit chilly water <SEP> negative,"The water is a bit chilly though , and our youngest one shivers the entire time .  ",drink -> quality,Hotels,0.6303098201751709
arg_0_2,a little weak shower pressure <SEP> negative,shower pressure was a little weak however that is bearable,drink -> quality,Hotels,0.27691811323165894
arg_0_3,about 300 a night rooms <SEP> negative,Decides on the Jockey Club because rooms all over vegas were about 300 a night .  ,drink -> quality,Hotels,0.4397639334201813
arg_0_4,always clean and well maintained pools <SEP> positive,the pools were always clean and well maintained .  ,drink -> quality,Hotels,0.7306885123252869
arg_0_5,always clean hot tub area <SEP> positive,The pool and hot tub area was always clean .,drink -> quality,Hotels,0.3594781458377838
arg_0_6,always clean hotel <SEP> positive,"Hotel is always clean , smells great",drink -> quality,Hotels,0.27701303362846375
arg_0_8,barely flushed toilet <SEP> negative,The toilet barely flushed .  ,drink -> quality,Hotels,0.3398823142051697
arg_0_9,barely warm shower <SEP> negative,"Took off two stars because it was a cold couple of days and the shower was just barely warm ( I know , worse things happening in the world but this is a review ) .  ",drink -> quality,Hotels,0.7385107278823853
arg_0_10,best coffee <SEP> positive,Best coffee and oatmeal and waffles .,drink -> quality,Hotels,0.26735809445381165
arg_0_11,best experience <SEP> positive,"All I can say is , BEST EXPERIENCE .",drink -> quality,Hotels,0.23223945498466492
arg_0_12,best filet mignon <SEP> positive,One of the best filet mignon I 've had .,drink -> quality,Hotels,0.3722521960735321
arg_0_13,best massage <SEP> positive,Massage was the best,drink -> quality,Hotels,0.47519922256469727
arg_0_14,best spa <SEP> positive,The Joys Spa is the BEST in town .,drink -> quality,Hotels,0.6068159937858582
arg_0_15,better coffee <SEP> positive,Coffee was better than the hotel next doors too .  ,drink -> quality,Hotels,0.317766398191452
arg_0_16,blackish foot shower floor <SEP> negative,And the shower floor had blackish foot prints that either were n't cleaned or are permanently etched in the floor .,drink -> quality,Hotels,0.5664852857589722
arg_0_18,bliss stay cation <SEP> negative,This stay cation was a bliss for my husband and I .,drink -> quality,Hotels,0.33425867557525635
arg_0_19,blood stained room <SEP> negative,I got a room with blood stained sheets and carpet with stains all over it .,drink -> quality,Hotels,0.5195705890655518
arg_0_20,broken toilet <SEP> negative,"On the first day , the toilet in our unit was broken and we had n't used it yet .   ",drink -> quality,Hotels,0.574093222618103
arg_0_21,clean bath <SEP> positive,The bed and bath were clean .,drink -> quality,Hotels,0.2733822762966156
arg_0_22,clean linen <SEP> negative,The bed did n't have clean linen 's .,drink -> quality,Hotels,0.5310685038566589
arg_0_23,clean lots of pools <SEP> positive,Clean lots of pools and hot tubs .  ,drink -> quality,Hotels,0.3496381938457489
arg_0_24,clean shower <SEP> positive,It took us 3 tries to find a room with a clean shower and a fridge that worked .,drink -> quality,Hotels,0.3658406138420105
arg_0_25,cleaner holiday in <SEP> positive,The Holiday in was cleaner and better appointed .,drink -> quality,Hotels,0.5145934224128723
arg_0_26,closed pool <SEP> negative,"I was very let down that the pool was closed and under construction when we visited , but that 's really not the hotel 's fault .",drink -> quality,Hotels,0.3921072781085968
arg_0_27,cloudy pool <SEP> negative,Pool was cloudy .,drink -> quality,Hotels,0.5130829811096191
arg_0_28,complimentary drinks <SEP> positive,Complimentary evening snacks and drinks are the only perk .,drink -> quality,Hotels,0.7911731004714966
arg_0_29,cool staycations <SEP> positive,highlights from last summer were cool little staycations at the Oasis .,drink -> quality,Hotels,0.5637757182121277
arg_0_30,daily free drinks <SEP> positive,There 's also Daily free drinks from 5 : 30 - 7 : 30 with light snacks .,drink -> quality,Hotels,0.8315672874450684
arg_0_31,delectable drinks <SEP> positive,The bar 's special drinks were also delectable .,drink -> quality,Hotels,0.4389951527118683
arg_0_32,delian bar <SEP> positive,The restaurant and bar are also Delian !,drink -> quality,Hotels,0.5012664794921875
arg_0_33,delicious strawberries <SEP> positive,"When we came back there was a tray of chocolate covered strawberries ( which were delicious ! ) , a bottle of prosecco , and a note from the hotel saying happy anniversary , how sweet !",drink -> quality,Hotels,0.3874424397945404
arg_0_34,die for chilean seabass <SEP> positive,Elements ' Chilean seabass is to die for .,drink -> quality,Hotels,0.3402261734008789
arg_0_35,dirty bathtub <SEP> negative,the only bad thing I 'm going to say is that the bathtub looks dirty it really needs to be reglazed .  ,drink -> quality,Hotels,0.36004140973091125
arg_0_36,dirty shower glass <SEP> negative,Shower glass is dirty .  ,drink -> quality,Hotels,0.38234415650367737
arg_0_37,do deltoid goodness gracious drinks <SEP> positive,But the drinks at the pool were do deltoid goodness gracious,drink -> quality,Hotels,0.4346975088119507
arg_0_38,downhill resort <SEP> negative,Was really disappointed with how this resort has gone downhill .,drink -> quality,Hotels,0.469714879989624
arg_0_39,dried stains bathroom door <SEP> negative,The bathroom door had dried stains as well .,drink -> quality,Hotels,0.6578540802001953
arg_0_40,dripped all night bathroom faucets <SEP> negative,My bathroom faucets ( both shower and sink ) dripped all night .,drink -> quality,Hotels,0.2660548686981201
arg_0_41,drunk group <SEP> negative,"Loud , drunk group of men .",drink -> quality,Hotels,0.47841864824295044
arg_0_42,enough washcloths <SEP> negative,There were enough towels and washcloths which has always been a gripe for me since so many places do n't supply enough .,drink -> quality,Hotels,0.35800138115882874
arg_0_43,excellent drink prices <SEP> positive,We were there for happy hour and the drink prices were excellent !,drink -> quality,Hotels,0.7433812022209167
arg_0_44,favorite drink <SEP> positive,Smash pepper cocktail from Jade Bar is one of my favorite drink now .,drink -> quality,Hotels,0.855553388595581
arg_0_45,filthiest hotel room <SEP> negative,Filthiest hotel room I 've ever seen in 30yrs of travel ! !,drink -> quality,Hotels,0.5110374093055725
arg_0_46,filthy toilet <SEP> negative,"Upon checking , we witnessed a filthy toilet with black marks under the rim trailing into the bowl .",drink -> quality,Hotels,0.321493923664093
arg_0_48,free bottled water <SEP> positive,They include two free bottled water in your room .  ,drink -> quality,Hotels,0.5039364099502563
arg_0_49,free drink <SEP> positive,"Oh ya and they offer you a free drink if you give them good reviews , not even enticed .",drink -> quality,Hotels,0.4584976136684418
arg_0_50,free drinks <SEP> positive,2 free drinks in the evening was a plus & that 's from 5 : 30,drink -> quality,Hotels,0.5082361698150635
arg_0_51,free earplugs <SEP> positive,They give you free earplugs in every room,drink -> quality,Hotels,0.4682809114456177
arg_0_52,free laundry <SEP> positive,The laundry is free ! !  ,drink -> quality,Hotels,0.6530817747116089
arg_0_53,free of charge cabanas <SEP> positive,The resort has several bbq pits and roof top pool covered cabanas free of charge .,drink -> quality,Hotels,0.4161360561847687
arg_0_54,free refills <SEP> positive,If you purchase a coffee from the Starbucks down stairs you get free refills all day and they have almond milk ! ! ! ! ! !,drink -> quality,Hotels,0.37014028429985046
arg_0_55,free water <SEP> positive,They offered slippers and free water .,drink -> quality,Hotels,0.678583025932312
arg_0_56,full bathtub <SEP> negative,The first thing I noticed was that the bathtub was full of human body hair ...,drink -> quality,Hotels,0.3375741243362427
arg_0_57,full sink <SEP> positive,There was also an extra sink in the bedroom in addition to the full bathroom .,drink -> quality,Hotels,0.8450812697410583
arg_0_58,fully stocked kitchen <SEP> positive,My favorite parts were that the kitchen was fully stocked so we went and bought groceries,drink -> quality,Hotels,0.5658701658248901
arg_0_59,good drinks <SEP> positive,The drinks were good and reasonably priced $ 12 .,drink -> quality,Hotels,0.2118590921163559
arg_0_60,good enough drinks <SEP> positive,Drinks are good enough ( for a measured pour place ) .  ,drink -> quality,Hotels,0.3110976815223694
arg_0_61,great 4 star room <SEP> positive,Great 4 star room,drink -> quality,Hotels,0.2819750905036926
arg_0_62,great drinks <SEP> positive,The Hotel restaurant has a great happy hour ( $ 6 apps and drinks ) .  ,drink -> quality,Hotels,0.6961340308189392
arg_0_63,great fresh ground coffee bars <SEP> positive,Coffee bars are great fresh ground to order .,drink -> quality,Hotels,0.6239708662033081
arg_0_64,great pitcher <SEP> positive,"At the pool , we were greeted with a pitcher of ice cold water , it was great !",drink -> quality,Hotels,0.4445040822029114
arg_0_65,great shower <SEP> positive,Shower was great !,drink -> quality,Hotels,0.2566390931606293
arg_0_66,great vacation rental club <SEP> positive,This vacation rental club is seriously great .,drink -> quality,Hotels,0.4266754388809204
arg_0_67,great water pressure <SEP> positive,I 'm a sucker for a shower with great water pressure and it did not dissapoint .,drink -> quality,Hotels,0.4944017827510834
arg_0_68,gross water <SEP> negative,They smell weird inside and the water is gross,drink -> quality,Hotels,0.6456501483917236
arg_0_69,hit or starbucks stand <SEP> negative,Also they have a Starbucks stand in he lobby that is hit or miss ..,drink -> quality,Hotels,0.5233768224716187
arg_0_70,horrible generic glass condos <SEP> negative,Horrible generic glass condos block what used to be a good view of Lake Ontario .,drink -> quality,Hotels,0.8243398666381836
arg_0_71,horrible wine <SEP> negative,Just horrible wine .,drink -> quality,Hotels,0.3280576169490814
arg_0_72,hot shower water <SEP> negative,"The shower water was either hot or very hot , could barely stand under it .",drink -> quality,Hotels,0.43480101227760315
arg_0_73,humid sheets <SEP> negative,the room carpet and sheets were humid .,drink -> quality,Hotels,0.4362970292568207
arg_0_74,impeccably kept pools <SEP> positive,The pools are impeccably kept and gym well maintained .  ,drink -> quality,Hotels,0.669341504573822
arg_0_75,instant hot water <SEP> positive,Hot water was instant !,drink -> quality,Hotels,0.516171932220459
arg_0_76,joke spa like showers <SEP> negative,"The "" spa like showers "" are a joke .",drink -> quality,Hotels,0.3257133662700653
arg_0_77,lack of daily upkeep <SEP> negative,Just a lack of daily upkeep .,drink -> quality,Hotels,0.5702062845230103
arg_0_78,laid back getaway <SEP> positive,"We did not mind the 30 minute drive to the Las Vegas strip since our focus was for a more laid back getaway not partying it up , so it workedout perfectly .",drink -> quality,Hotels,0.3796417713165283
arg_0_79,laid back spa <SEP> positive,The spa is laid back and helpful .,drink -> quality,Hotels,0.6736067533493042
arg_0_80,less expensive cabana <SEP> positive,"We got a cabana ( which was less expensive as said pool party locations ) , and had the best time !",drink -> quality,Hotels,0.4338308870792389
arg_0_81,limited cash bar selection <SEP> negative,I did n't stay here but recently attended a banquet event here and could not believe the limited cash bar selection .,drink -> quality,Hotels,0.3444783091545105
arg_0_82,love lemon drop <SEP> positive,I love their lemon drop .... but it was 21 bucks each .  ,drink -> quality,Hotels,0.29121512174606323
arg_0_83,love montelucia <SEP> positive,I love the Montelucia and Joya Spa !,drink -> quality,Hotels,0.38814786076545715
arg_0_84,loved drinks <SEP> positive,we loved the drinks and fruit platter !,drink -> quality,Hotels,0.5151167511940002
arg_0_85,low toilet <SEP> negative,"Toilet must be really old , they 're low , like for kids .",drink -> quality,Hotels,0.5730486512184143
arg_0_86,meh room <SEP> negative,"Location 5 , but the hotel and room is meh .",drink -> quality,Hotels,0.47285860776901245
arg_0_87,mold bathroom shower <SEP> negative,"There is mold in the bathroom shower , accompanied by rust around the screws of the toilet .",drink -> quality,Hotels,0.3849414885044098
arg_0_88,most exquisite teas <SEP> positive,This was one of the most exquisite teas I 've done .  ,drink -> quality,Hotels,0.6620641350746155
arg_0_89,much - needed sink <SEP> negative,The small tub should be removed making room for a much - needed sink .,drink -> quality,Hotels,0.5407760143280029
arg_0_90,much better experience <SEP> negative,If the bottom was enclosed and had AC it would have been a much better experience !  ,drink -> quality,Hotels,0.7939325571060181
arg_0_91,much better tea services <SEP> negative,"Fairmont Olympic Hotel in Seattle , or Fairmont Hotel Vancouver have much better tea services !",drink -> quality,Hotels,0.23659738898277283
