comment_id,comment,full_comment,topic,domain,predicted_WA
arg_0_0,110 minutes deep tissue or thai massage <SEP> positive,"Deep tissue or thai massage , 110 minutes for the win .  ",drink -> quality,Beauty & Spas,0.3069167137145996
arg_0_1,30 treatments <SEP> negative,Treatments are 30 to 50 minutes and not painful .,drink -> quality,Beauty & Spas,0.7089090943336487
arg_0_2,5 star experience <SEP> positive,All of the little extras added up to a 5 star experience from five star nails and spa !,drink -> quality,Beauty & Spas,0.34987983107566833
arg_0_3,50 minute signature massage <SEP> positive,"While visiting , I had the luxury of getting a 50 minute signature massage at the Encore Spa .",drink -> quality,Beauty & Spas,0.485436350107193
arg_0_4,always even acrylic nails <SEP> positive,My acrylic nails are always even and smooth and not too thick .,drink -> quality,Beauty & Spas,0.2265981137752533
arg_0_5,amazing piercer jay <SEP> positive,My piercer Jay was AMAZING !,drink -> quality,Beauty & Spas,0.2598993182182312
arg_0_6,bad experience gel mani <SEP> negative,I had a bad experience at a previous salon regarding my gel mani and pedi .,drink -> quality,Beauty & Spas,0.4765124022960663
arg_0_7,beautiful gel colors <SEP> positive,All the new gel colors are beautiful love my Pedis by Linda,drink -> quality,Beauty & Spas,0.3593458831310272
arg_0_8,best deep tissue massage <SEP> positive,"She was very welcoming upon my arrival , and gave me the best deep tissue massage I have ever had .   ",drink -> quality,Beauty & Spas,0.7868330478668213
arg_0_9,best gel pedicures <SEP> positive,Probably one of the best gel pedicures I 've ever had !,drink -> quality,Beauty & Spas,0.6495038866996765
arg_0_10,best injector <SEP> positive,Mary is THE best injector I 've found .  ,drink -> quality,Beauty & Spas,0.21846148371696472
arg_0_11,best massage <SEP> positive,Sunny gave me the best massage ever .,drink -> quality,Beauty & Spas,0.24212302267551422
arg_0_12,best massages <SEP> positive,Their massages are the best .,drink -> quality,Beauty & Spas,0.4324500858783722
arg_0_13,best shampoo cranial massage <SEP> positive,The best part is the shampoo cranial massage you get with your cut .  ,drink -> quality,Beauty & Spas,0.3112048804759979
arg_0_14,best spa massage <SEP> positive,"Next time , I will search Yelp for best spa massage in area .",drink -> quality,Beauty & Spas,0.2902153730392456
arg_0_15,best treatment <SEP> positive,I get the best treatment over any other nail salon,drink -> quality,Beauty & Spas,0.41634413599967957
arg_0_16,blew gel manicure <SEP> negative,"I would have gotten a pedicure too , but the gel manicure kinda blew my budget for the day .  ",drink -> quality,Beauty & Spas,0.5236403346061707
arg_0_17,bonus wine <SEP> positive,The wine and cheese was a bonus .,drink -> quality,Beauty & Spas,0.23298189043998718
arg_0_18,breath taking spa <SEP> positive,The Spa itself is breath taking .,drink -> quality,Beauty & Spas,0.2551794946193695
arg_0_19,clean everyone <SEP> positive,There are no rookie barbers here and everyone is very professional and clean !,drink -> quality,Beauty & Spas,0.4982417821884155
arg_0_20,clean girls <SEP> positive,"The girls are clean and patient , they take their time , so you are satisified with the results .  ",drink -> quality,Beauty & Spas,0.386914998292923
arg_0_21,cleanest nail salons <SEP> positive,First of all it is BEAUTIFUL and one of the cleanest nail salons I 've ever been to .,drink -> quality,Beauty & Spas,0.31196555495262146
arg_0_22,cold beverages <SEP> positive,"Very polite & attentive as well , cold beverages offered as soon as your seated .",drink -> quality,Beauty & Spas,0.344644695520401
arg_0_23,cold plunge pool <SEP> negative,"There is a steam , sauna , cold plunge pool ,   and jacuzzi .",drink -> quality,Beauty & Spas,0.48670217394828796
arg_0_24,completely painless removal <SEP> negative,The removal was completely painless,drink -> quality,Beauty & Spas,0.29241517186164856
arg_0_25,consistent sns <SEP> positive,"Quality of their SNS is consistent , never too thick or lumpy .",drink -> quality,Beauty & Spas,0.7226751446723938
arg_0_26,could n't be happier massage <SEP> positive,"I could n't be happier , especially since this was my first massage ever !",drink -> quality,Beauty & Spas,0.46245723962783813
arg_0_27,delicious coffee <SEP> positive,Btw their COFFEE is delicious ! ! ! !,drink -> quality,Beauty & Spas,0.6063650250434875
arg_0_28,die for shoulder massage <SEP> positive,"The shoulder massage she give you during your wash , omg to die for .",drink -> quality,Beauty & Spas,0.5193643569946289
arg_0_29,different massages <SEP> positive,They have many different massages and they are all amazing .  ,drink -> quality,Beauty & Spas,0.35747790336608887
arg_0_30,dry hair <SEP> positive,It gets hot but it gets your hair dry and voluminous in minutes !,drink -> quality,Beauty & Spas,0.7052211165428162
arg_0_31,dry heals <SEP> negative,Our heals were dry and we left their with beautiful manicured feet !,drink -> quality,Beauty & Spas,0.7273635268211365
arg_0_32,dry nail polish <SEP> positive,"To me , getting a pedicure is not the pretty nail polish , but getting the dry skin off my feet .",drink -> quality,Beauty & Spas,0.5304116606712341
arg_0_33,enjoyed aromatherapy soak with massage <SEP> positive,I enjoyed the aromatherapy soak with massage along with shirodhara ayurvedic oil treatment .  ,drink -> quality,Beauty & Spas,0.5458771586418152
arg_0_34,enjoyed massages <SEP> positive,"Thank you , we enjoyed our massages and will be back .",drink -> quality,Beauty & Spas,0.5223159193992615
arg_0_35,excellent lavender oil <SEP> positive,"I had her use the lavender oil throughout , and it smelled excellent .   ",drink -> quality,Beauty & Spas,0.3579842448234558
arg_0_36,excellent massages <SEP> positive,All the massages I got were excellent .,drink -> quality,Beauty & Spas,0.5757209658622742
arg_0_37,extra long massage / scrub <SEP> negative,"It has the hot wax , extra long massage / scrub , hot stone rub and multiple lotions and oils .",drink -> quality,Beauty & Spas,0.24426305294036865
arg_0_38,fabulous massage scrub <SEP> positive,Did a Fabulous massage scrub and foot Awakening .,drink -> quality,Beauty & Spas,0.39645421504974365
arg_0_39,five star experience <SEP> positive,The entire experience is five star from the moment you step off the elevator .,drink -> quality,Beauty & Spas,0.36061233282089233
arg_0_40,flat beverages <SEP> positive,The cold beverages are offered while you wait and the flat - screen TVs making the environment feel like home  ,drink -> quality,Beauty & Spas,0.7067155241966248
arg_0_41,free bottled water <SEP> positive,They also provide free bottled water or soda .,drink -> quality,Beauty & Spas,0.7881049513816833
arg_0_42,free chocolates <SEP> positive,And they also gave us free chocolates for our anniversary,drink -> quality,Beauty & Spas,0.5612395405769348
arg_0_43,free drink all day <SEP> positive,Free drink all day .,drink -> quality,Beauty & Spas,0.19247432053089142
arg_0_44,fresh orange massage <SEP> positive,I even had a fresh lime and orange massage with my pedicure .  ,drink -> quality,Beauty & Spas,0.6430695056915283
